Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C23, C27, C3",0603,4,10uF,C19702
"C10, C11",0603,2,18pF,C1647
"C12, C13, C14, C2, C22, C4, C5, C6, C7, C8, C9",0603,11,100nF,C14663
C15,1206,1,47uF,C96123
"C16, C17, C18",0603,3,1 uF,C29936
"C19, C20, C21, C26",0603,4,220pF,C1603
C24,0603,1,22 uF,C86295
C25,0603,1,1 nF,C1588
F1,1206,1,500 mA,C135341
"FB1, FB2, FB3, FB4, FB5",0805,5,120Ohm 2A,C356986
J1,WJ500V-5.08-2P,1,L_OUT,C8465
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J3,WJ500V-5.08-2P,1,R_OUT,C8465
J4,PinHeader_1x01_P2.54mm_Vertical,1,VBUS,C492400
J5,PinHeader_1x01_P2.54mm_Vertical,1,GND,C492400
J6,BAT_WIRELESS_BWSMA-KE-Z001,1,BWSMA-KE-Z001,C496549
J7,PinHeader_1x01_P2.54mm_Vertical,1,3V3,C492400
L1,IND_PA4332.222NLT,1,2.2 uH,C3222957
"R1, R11, R2, R4, R5",0603,5,10k Ohm,C98220
"R10, R3",0603,2,4.7k,C99782
R12,0805,1,562kΩ,C2849274
R13,0805,1,180kΩ,C17501
R14,0603,1,0 Ohm,C95177
R22,0603,1,100k,C14675
"R6, R7",0603,2,5.1k,C23186
"R8, R9",0603,2,22,C23345
S1,SSSS811101,1,SSSS811101,C109335
SW2,KH-6X6X5H-STM_SKE,1,EN,C2837531 
U1,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U,
U2,SI470X_20_QFN,1,SI4702-C19-GMR,C2155666
U4,SOT-143,1,PRTR5V0U2X,C2827688
U5,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62160DSG,C324077 
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,PAM8406D,C86270
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C32346
